,X,cnty_rte,milepost,CASENO,severity,light,numvehs,numlanes,mediantype,medwidth,speed,volume,ruralurban
1,01001 23 U-12.21-201401140950915017279,01001 23 U,12.21,2.01E+20,4,DL,2,2,UD,0,I,1900,R
2,01001 23 U-14.41-201401061743915017279,01001 23 U,14.41,2.01E+20,1,NDL,1,2,UD,0,I,1900,R
3,01001 23 U-34.23-201401141055915018969,01001 23 U,34.23,2.01E+20,5,DL,2,2,UD,0,L,1086,R
4,01001 23 U-61.299-201401080849230100002,01001 23 U,61.299,2.01E+20,5,DL,2,4,UD,0,L,15103,B
5,01001 23 U-62.083-201401031355230100053,01001 23 U,62.083,2.01E+20,4,DL,2,4,UD,0,I,13046,B
6,01001 23 U-93.36-201401011530912620706,01001 23 U,93.36,2.01E+20,5,DL,1,2,UD,0,L,660,R
7,01020 17 D-13.79-201401031939915119714,01020 17 D,13.79,2.01E+20,5,NDL,1,2,D,12,I,11087,B
8,01020 17 D-17.74-201401011125915118337,01020 17 D,17.74,2.01E+20,5,DL,1,2,D,12,L,9363,B
9,01020 17 U-18.05-201401081430915116414,01020 17 U,18.05,2.01E+20,5,DL,1,2,UD,0,I,9024,B
10,01020 17 U-29.97-201401130805915116148,01020 17 U,29.97,2.01E+20,5,DL,1,2,UD,0,I,7179,R
11,01020 17 U-8.41-201401141725915119430,01020 17 U,8.41,2.01E+20,5,NDL,2,2,UD,0,I,8200,R
12,01020 23 U-0.8-201401102150915020398,01020 23 U,0.8,2.01E+20,3,NDL,1,2,UD,0,I,6300,B
13,01020 23 U-13.33-201401131800915012930,01020 23 U,13.33,2.01E+20,5,NDL,1,2,UD,0,I,2370,R
14,01020 23 U-4.69-201401111700915020398,01020 23 U,4.69,2.01E+20,5,NDL,1,2,UD,0,I,2952,R
15,01029 17 U-27.9-201401131755915119430,01029 17 U,27.9,2.01E+20,4,NDL,2,3,UD,0,I,8300,R
16,01029 17 U-33.53-201401090920915114431,01029 17 U,33.53,2.01E+20,4,DL,2,2,UD,0,H,10825,R
17,01029 17RU-34.35-201401071630915117300,01029 17RU,34.35,2.01E+20,5,DL,2,2,UD,0,H,10887,R
18,01029 17RU-40.73-201401091443915117904,01029 17RU,40.73,2.01E+20,5,DL,2,3,UD,0,H,14159,B
19,01036 12 U-31.31-201401091640912515572,01036 12 U,31.31,2.01E+20,5,NDL,1,2,UD,0,I,1082,R
20,01101 08 D-43.81-201401080710912012087,01101 08 D,43.81,2.01E+20,5,NDL,1,2,D,14,H,7136,R
21,01101 08RD-2.04-201401050915912013564,01101 08RD,2.04,2.01E+20,4,DL,1,4,D,4,H,2900,R
22,01101 08RD-30.35-201401080645912012087,01101 08RD,30.35,2.01E+20,5,NDL,1,4,D,60,H,11300,B
23,01101 12 D-27.938-201401010830912620603,01101 12 D,27.938,2.01E+20,5,DL,1,4,D,4,H,5300,R
24,01101 12 D-29.43-201401130210912620496,01101 12 D,29.43,2.01E+20,5,NDL,1,4,D,4,H,5300,R
25,01101 12 D-37.62-201401061450912620607,01101 12 D,37.62,2.01E+20,5,DL,1,4,D,4,H,5400,R
26,01101 12 D-60.62-201401071810912513551,01101 12 D,60.62,2.01E+20,5,NDL,1,4,D,22,H,14800,B
27,01101 12 D-62.73-201401111430912518064,01101 12 D,62.73,2.01E+20,5,DL,2,4,D,22,H,22000,R
28,01101 12 D-71.38-201401061205912511799,01101 12 D,71.38,2.01E+20,3,DL,1,4,D,22,H,21800,B
29,01101 12 D-77.299-201401051527120300490,01101 12 D,77.299,2.01E+20,3,DL,3,4,D,10,I,32000,B
30,01101 12 D-77.38-201401101035120300951,01101 12 D,77.38,2.01E+20,5,DL,2,4,D,10,L,32897,B
31,01101 12 L-78.386-201401011124120300464,01101 12 L,78.386,2.01E+20,3,DL,2,3,D,99,L,19000,B
32,01101 12 R-78.68-201401111650120304027,01101 12 R,78.68,2.01E+20,5,DL,2,3,D,99,L,25500,B
33,01101 12 R-79.07-201401121630120300636,01101 12 R,79.07,2.01E+20,5,DL,2,3,D,99,L,21204,B
34,01101 12RD-130.38-201401081019912514428,01101 12RD,130.38,2.01E+20,5,DL,2,4,D,6,H,2800,R
35,01101 12RD-133.9-201401032310912518771,01101 12RD,133.9,2.01E+20,5,NDL,1,4,D,6,H,2800,R
36,01101 12RD-18.85-201401070450912620496,01101 12RD,18.85,2.01E+20,5,NDL,1,4,D,4,H,5600,R
37,01101 12RD-43.471-201401111615912620368,01101 12RD,43.471,2.01E+20,5,DL,1,4,D,4,H,5650,R
38,01101 12RD-8.27-201401010730912620383,01101 12RD,8.27,2.01E+20,1,DL,1,4,D,4,H,4600,R
39,01101 12RD-91.27-201401121949912516478,01101 12RD,91.27,2.01E+20,5,NDL,1,4,D,46,H,18900,B
40,01101 23 D-29.64-201401120350915019524,01101 23 D,29.64,2.01E+20,4,NDL,1,4,D,46,H,27261,B
41,01101 23 D-30.702-201401110400915014929,01101 23 D,30.702,2.01E+20,1,NDL,1,4,D,46,H,25500,B
42,01101 23 D-58.51-201401042320912619918,01101 23 D,58.51,2.01E+20,3,NDL,1,4,D,4,H,6813,R
43,01101 23 D-59.51-201401131420912620431,01101 23 D,59.51,2.01E+20,3,DL,1,4,D,4,H,6600,R
44,01101 23 D-59.56-201401022210912614469,01101 23 D,59.56,2.01E+20,5,NDL,1,4,D,4,H,6600,R
45,01101 23 D-82.07-201401130735912620592,01101 23 D,82.07,2.01E+20,5,NDL,1,4,D,4,H,6000,R
46,01101 23 U-48.16-201401081545912620354,01101 23 U,48.16,2.01E+20,5,DL,1,2,UD,0,I,6895,B
47,01101 23 U-74.47-201401131700912620366,01101 23 U,74.47,2.01E+20,4,NDL,1,2,UD,0,I,6000,R
48,01101 23 U-93.45-201401132300912620496,01101 23 U,93.45,2.01E+20,5,NDL,1,2,UD,0,I,5900,R
49,01101 23 U-95.37-201401030850912620368,01101 23 U,95.37,2.01E+20,5,DL,1,2,UD,0,I,5900,R
50,01101 23 U-98.32-201401021740912619011,01101 23 U,98.32,2.01E+20,5,NDL,1,2,UD,0,I,5900,R
51,01101 23RD-106.16-201401081850912620592,01101 23RD,106.16,2.01E+20,5,NDL,1,4,D,4,H,4400,R
52,01101 23RD-86.95-201401122040912620502,01101 23RD,86.95,2.01E+20,3,NDL,1,> 4,D,4,H,5954,R
53,01128 23 U-29.13-201401141120915016075,01128 23 U,29.13,2.01E+20,5,DL,2,2,UD,0,I,4252,R
54,01162 23 U-2.1-201401141330912620366,01162 23 U,2.1,2.01E+20,5,DL,1,2,UD,0,I,870,R
55,01175 17 U-17.06-201401141805915117141,01175 17 U,17.06,2.01E+20,2,NDL,1,2,UD,0,L,1796,R
56,01175 17 U-18.87-201401111359915116093,01175 17 U,18.87,2.01E+20,3,DL,2,2,UD,0,L,1796,R
57,01175 23 U-0.5-201401060906915019119,01175 23 U,0.5,2.01E+20,5,DL,1,2,UD,0,I,5000,R
58,01175 23 U-1.77-201401042100915020517,01175 23 U,1.77,2.01E+20,5,NDL,1,2,UD,0,L,3600,R
59,01175 23 U-7.98-201401080715915016680,01175 23 U,7.98,2.01E+20,5,DL,2,2,UD,0,L,1700,R
60,01199 08 U-10.89-201401071344912020703,01199 08 U,10.89,2.01E+20,5,DL,1,2,UD,0,I,3458,R
61,01200 12 U-2.23-201401121545912511998,01200 12 U,2.23,2.01E+20,4,DL,1,2,UD,0,I,1845,B
62,01253 23 U-1.44-201401060630915016075,01253 23 U,1.44,2.01E+20,4,NDL,2,2,UD,0,I,2146,R
63,01254 12 U-10.517-201401031315912620368,01254 12 U,10.517,2.01E+20,1,DL,2,2,UD,0,I,1163,R
64,01255 12 U-2.892-201401011630912511998,01255 12 U,2.892,2.01E+20,5,DL,1,2,UD,0,H,7100,B
65,01299 12 D-38.99-201401061115912519243,01299 12 D,38.99,2.01E+20,5,DL,2,4,D,12,I,4472,R
66,01299 12 U-32.15-201401072030912519243,01299 12 U,32.15,2.01E+20,3,NDL,1,2,UD,0,I,3200,R
67,02003 47LU-47.84-201401050820470900001,02003 47LU,47.84,2.01E+20,5,DL,2,2,UD,0,I,9500,B
68,02003 47LU-49.254-201401111834470900003,02003 47LU,49.254,2.01E+20,3,NDL,2,2,UD,0,I,9200,B
69,02003 53 U-4.85-201401072320917517698,02003 53 U,4.85,2.01E+20,5,NDL,1,2,UD,0,L,1127,R
70,02003 53 U-41.41-201401020900917514636,02003 53 U,41.41,2.01E+20,5,DL,1,2,UD,0,I,981,R
71,02005 45 D-3.07-201401061445913515968,02005 45 D,3.07,2.01E+20,5,DL,2,4,D,84,H,49000,R
72,02005 45RD-12.11-201401090810913514516,02005 45RD,12.11,2.01E+20,5,DL,3,4,D,84,H,50000,U
73,02005 45RD-14.761-201401080010913512468,02005 45RD,14.761,2.01E+20,3,NDL,1,4,D,17,H,61000,U
74,02005 45RD-17.916-201401021434450200193,02005 45RD,17.916,2.01E+20,5,DL,2,4,D,84,H,42000,U
75,02005 45RD-8.64-201401131425913515363,02005 45RD,8.64,2.01E+20,5,DL,1,4,D,84,H,47500,U
76,02005 47RD-15.91-201401102134914617955,02005 47RD,15.91,2.01E+20,5,NDL,1,4,D,70,H,20700,R
77,02005 47RD-22.95-201401130630914517835,02005 47RD,22.95,2.01E+20,4,NDL,1,4,D,36,H,14900,R
78,02005 47RD-22.96-201401130720914507835,02005 47RD,22.96,2.01E+20,4,NDL,1,4,D,36,H,14900,R
79,02005 52RD-1.7-201401042242913015829,02005 52RD,1.7,2.01E+20,1,NDL,2,4,D,60,H,24600,R
80,02005 52RD-11.153-201401141058913015225,02005 52RD,11.153,2.01E+20,4,DL,1,4,D,60,H,29000,R
81,02005 52RD-2.24-201401042240913016447,02005 52RD,2.24,2.01E+20,5,NDL,1,4,D,60,H,24600,R
82,02005 52RD-2.24-201401042245913015667,02005 52RD,2.24,2.01E+20,5,NDL,1,4,D,60,H,24600,R
83,02005 52RD-2.92-201401042241913015829,02005 52RD,2.92,2.01E+20,2,NDL,2,4,D,60,H,24600,R
84,02036 18 U-0.6-201401130730914016732,02036 18 U,0.6,2.01E+20,4,DL,1,2,UD,0,H,1850,R
85,02036 18 U-25.23-201401071645180100832,02036 18 U,25.23,2.01E+20,4,NDL,2,4,UD,0,L,11722,B
86,02036 18 U-25.29-201401091545180100840,02036 18 U,25.29,2.01E+20,5,NDL,2,4,UD,0,L,11722,B
87,02036 18 U-7.28-201401021145914013241,02036 18 U,7.28,2.01E+20,4,DL,1,2,UD,0,H,2200,R
88,02036 18RD-26.23-201401071400180100832,02036 18RD,26.23,2.01E+20,5,DL,2,4,D,12,L,8900,B
89,02036 32 U-0.3-201401131010914016732,02036 32 U,0.3,2.01E+20,5,DL,1,2,UD,0,H,1650,R
90,02036 52 U-47.78-201401011250913016447,02036 52 U,47.78,2.01E+20,3,DL,1,2,UD,0,H,1779,R
91,02036 52 U-66.8-201401081724913016408,02036 52 U,66.8,2.01E+20,5,NDL,1,2,UD,0,H,961,R
92,02036 52LD-41.12-201401101217520201668,02036 52LD,41.12,2.01E+20,5,DL,2,4,D,12,I,8700,B
93,02036 52LD-41.2-201401101057520201668,02036 52LD,41.2,2.01E+20,5,DL,2,4,D,12,I,11622,B
94,02036 52LD-41.2-201401131300520201170,02036 52LD,41.2,2.01E+20,5,DL,2,4,D,12,I,11622,B
95,02044 18 U-5.48-201401060015914019493,02044 18 U,5.48,2.01E+20,3,NDL,1,2,UD,0,H,1550,R
96,02044 45 U-43.17-201401041052913514516,02044 45 U,43.17,2.01E+20,3,DL,1,2,UD,0,H,1150,R
97,02044 45 U-68.85-201401090605913513553,02044 45 U,68.85,2.01E+20,5,NDL,1,2,UD,0,H,1650,R
98,02044 45 U-68.86-201401090645913513553,02044 45 U,68.86,2.01E+20,4,NDL,1,2,UD,0,H,1650,R
99,02044 45LD-0.84-201401141435913515363,02044 45LD,0.84,2.01E+20,5,DL,2,4,D,22,H,39500,U
100,02044 45LL-0.01-201401041829450200326,02044 45LL,0.01,2.01E+20,5,NDL,2,3,D,22,L,20000,U
101,02044 45RD-0.57-201401031430913514516,02044 45RD,0.57,2.01E+20,5,DL,1,> 4,D,22,H,34000,U
102,02044 45RD-1.117-201401081723913516339,02044 45RD,1.117,2.01E+20,5,NDL,3,> 4,D,22,H,34000,U
103,02070 32 U-30.47-201401051140916519536,02070 32 U,30.47,2.01E+20,4,DL,1,2,UD,0,I,1223,R
104,02070 32 U-86.14-201401111532916520692,02070 32 U,86.14,2.01E+20,3,DL,2,2,UD,0,H,2980,R
105,02070 32RR-43.23-201401010020916515529,02070 32RR,43.23,2.01E+20,5,NDL,2,2,D,99,I,3750,R
106,02089 32 U-25.1-201401141055916519416,02089 32 U,25.1,2.01E+20,5,DL,1,2,UD,0,H,1693,R
107,02089 32 U-27.06-201401040745916519282,02089 32 U,27.06,2.01E+20,5,NDL,1,2,UD,0,H,1656,R
108,02089 32 U-28.49-201401141037916519392,02089 32 U,28.49,2.01E+20,5,DL,1,2,UD,0,H,1637,R
109,02097 47 U-21.815-201401111000914518124,02097 47 U,21.815,2.01E+20,5,DL,1,2,UD,0,H,3219,R
110,02273 45 D-11.84-201401092231450200128,02273 45 D,11.84,2.01E+20,4,NDL,2,4,D,27,I,26000,U
111,02273 45 D-15.51-201401061412450200105,02273 45 D,15.51,2.01E+20,2,DL,2,4,D,2,I,23422,U
112,02273 45 D-16.91-201401141420450200180,02273 45 D,16.91,2.01E+20,5,DL,2,4,D,11,L,21120,U
113,02273 45 D-18.58-201401111713450200324,02273 45 D,18.58,2.01E+20,5,NDL,1,4,D,10,L,24000,U
114,02299 25 U-46.12-201401100555917019274,02299 25 U,46.12,2.01E+20,4,NDL,1,2,UD,0,H,982,R
115,02299 45 U-38.64-201401071738913513145,02299 45 U,38.64,2.01E+20,5,NDL,1,2,UD,0,I,4042,R
116,02299 45 U-44.66-201401082000913516339,02299 45 U,44.66,2.01E+20,1,NDL,1,2,UD,0,I,3748,R
117,02299 53 U-47.15-201401041630917518433,02299 53 U,47.15,2.01E+20,5,DL,1,3,UD,0,I,2511,R
118,02299 53 U-54.61-201401071235917516084,02299 53 U,54.61,2.01E+20,5,DL,1,2,UD,0,H,5471,R
119,02395 18 U-50.8-201401132215914019275,02395 18 U,50.8,2.01E+20,5,NDL,1,2,UD,0,H,5055,R
120,03005 06RD-13.64-201401041350915515996,03005 06RD,13.64,2.01E+20,5,DL,1,4,D,70,H,23300,R
121,03005 06RD-25.93-201401141210915517613,03005 06RD,25.93,2.01E+20,5,DL,1,4,D,70,H,13503,R
122,03005 06RD-7.77-201401091515915515996,03005 06RD,7.77,2.01E+20,4,DL,1,4,D,70,H,23501,R
123,03005 11RD-19-201401021040916017577,03005 11RD,19,2.01E+20,5,DL,1,4,D,60,H,25500,R
124,03005 34 D-11.03-201401050824925218872,03005 34 D,11.03,2.01E+20,5,DL,2,4,D,84,H,43000,U
125,03005 34 D-11.057-201401081622925214296,03005 34 D,11.057,2.01E+20,5,DL,1,4,D,84,H,43000,U
126,03005 34 D-17.69-201401080715925214288,03005 34 D,17.69,2.01E+20,4,DL,1,> 4,D,30,H,71563,U
127,03005 34 D-20.686-201401071357925214296,03005 34 D,20.686,2.01E+20,5,DL,2,> 4,D,22,H,113000,U
128,03005 34 D-21.12-201401122115925219085,03005 34 D,21.12,2.01E+20,4,NDL,2,> 4,D,22,H,112892,U
129,03005 34 D-21.34-201401122115925219071,03005 34 D,21.34,2.01E+20,3,NDL,2,> 4,D,22,H,112766,U
130,03005 34 D-22.646-201401031545925218424,03005 34 D,22.646,2.01E+20,5,NDL,1,> 4,D,24,H,118588,U
131,03005 34 D-22.878-201401141720925213823,03005 34 D,22.878,2.01E+20,5,NDL,2,> 4,D,24,H,115931,U
132,03005 34 D-22.9-201401140655925214288,03005 34 D,22.9,2.01E+20,4,NDL,4,> 4,D,24,H,115931,U
133,03005 34 D-23.17-201401060745925217663,03005 34 D,23.17,2.01E+20,5,DL,3,> 4,D,24,H,113725,U
134,03005 34 D-23.22-201401131750925214296,03005 34 D,23.22,2.01E+20,5,NDL,2,> 4,D,24,H,126000,U
135,03005 34 D-23.47-201401041205925217522,03005 34 D,23.47,2.01E+20,5,DL,3,> 4,D,22,H,102171,U
136,03005 34 D-23.91-201401100725925214453,03005 34 D,23.91,2.01E+20,5,DL,2,> 4,D,22,H,116000,U
137,03005 34 D-23.921-201401061650925214296,03005 34 D,23.921,2.01E+20,5,NDL,2,> 4,D,22,H,116000,U
138,03005 34 D-24-201401122320925218899,03005 34 D,24,2.01E+20,5,NDL,2,> 4,D,22,H,116000,U
139,03005 34 D-24.35-201401141718925214296,03005 34 D,24.35,2.01E+20,5,NDL,2,> 4,D,37,H,116000,U
140,03005 34 D-24.48-201401091745925213823,03005 34 D,24.48,2.01E+20,4,NDL,2,> 4,D,37,H,116000,U
141,03005 34 D-24.55-201401080650925214453,03005 34 D,24.55,2.01E+20,4,DL,2,> 4,D,37,H,116000,U
142,03005 34 D-24.94-201401091750925018260,03005 34 D,24.94,2.01E+20,4,NDL,2,> 4,D,36,H,108744,U
143,03005 34 D-25.56-201401101000925017129,03005 34 D,25.56,2.01E+20,2,DL,1,> 4,D,36,H,112000,U
144,03005 34 D-26.76-201401100923925018014,03005 34 D,26.76,2.01E+20,3,DL,1,> 4,D,36,H,76423,U
145,03005 34 D-28.65-201401071457925014142,03005 34 D,28.65,2.01E+20,4,DL,1,> 4,D,60,H,99150,U
146,03005 34 D-29.084-201401021530925014142,03005 34 D,29.084,2.01E+20,5,DL,2,> 4,D,60,H,73000,U
147,03005 34 D-33.15-201401091300925017425,03005 34 D,33.15,2.01E+20,2,DL,1,4,D,84,H,39483,R
148,03005 34 D-8.49-201401131830925218782,03005 34 D,8.49,2.01E+20,5,NDL,2,4,D,84,H,44170,R
149,03005 57 D-0.2-201401010225928013399,03005 57 D,0.2,2.01E+20,3,NDL,2,4,D,70,H,50000,R
150,03005 57 D-3.69-201401060038928016351,03005 57 D,3.69,2.01E+20,5,NDL,2,4,D,70,H,50000,R
151,03005 57RD-23.74-201401090915928017629,03005 57RD,23.74,2.01E+20,5,DL,2,4,D,70,H,29000,R
152,03016 57 U-22.92-201401141422928015128,03016 57 U,22.92,2.01E+20,4,DL,1,2,UD,0,H,12000,R
153,03016 57 U-28.61-201401131530928017883,03016 57 U,28.61,2.01E+20,5,DL,2,2,UD,0,H,11600,R
154,03016 57 U-40.2-201401110409928017874,03016 57 U,40.2,2.01E+20,2,NDL,2,2,UD,0,I,11000,R
155,03020 06 U-30.639-201401021720060108330,03020 06 U,30.639,2.01E+20,4,NDL,2,2,UD,0,L,15000,B
156,03020 29 U-22.82-201401041020923012882,03020 29 U,22.82,2.01E+20,4,DL,2,2,UD,0,H,5479,R
157,03020 29RD-14.38-201401141622923013245,03020 29RD,14.38,2.01E+20,5,DL,2,4,D,22,H,37000,B
158,03020 29RD-14.662-201401051135923012882,03020 29RD,14.662,2.01E+20,4,DL,1,4,D,22,H,37000,B
159,03020 29RD-16.637-201401130905923013002,03020 29RD,16.637,2.01E+20,5,DL,1,4,D,22,I,28200,B
160,03020 29RD-6.61-201401071740923013002,03020 29RD,6.61,2.01E+20,5,NDL,3,> 4,D,12,I,15000,B
161,03020 29RU-10.19-201401081645923014289,03020 29RU,10.19,2.01E+20,5,DL,2,3,UD,0,I,15000,R
162,03020 51 D-15.59-201401031222510204085,03020 51 D,15.59,2.01E+20,5,DL,2,> 4,D,3,L,37500,U
163,03020 51 D-16.2-201401081912510204088,03020 51 D,16.2,2.01E+20,4,NDL,2,> 4,D,20,L,41621,U
164,03020 51 D-16.97-201401091602510204016,03020 51 D,16.97,2.01E+20,3,DL,1,4,D,4,I,36500,U
165,03020 51 D-17.04-201401141228510204079,03020 51 D,17.04,2.01E+20,5,DL,2,4,D,4,I,36500,U
166,03020 51 U-5.51-201401120005928519168,03020 51 U,5.51,2.01E+20,4,NDL,2,2,UD,0,H,7300,R
167,03020 51RD-15.094-201401091648510204016,03020 51RD,15.094,2.01E+20,4,DL,3,4,D,12,I,27671,U
168,03020 58 U-13.56-201401091100928514480,03020 58 U,13.56,2.01E+20,3,DL,1,2,UD,0,I,7600,R
169,03020 58 U-6.63-201401140030928517080,03020 58 U,6.63,2.01E+20,4,NDL,1,2,UD,0,I,12000,R
170,03020 58RU-3.75-201401132038928512427,03020 58RU,3.75,2.01E+20,3,NDL,1,2,UD,0,I,12000,U
171,03028 31 D-0.19-201401101130922220072,03028 31 D,0.19,2.01E+20,5,DL,3,2,D,11,L,12300,B
172,03028 31 D-1.845-201401071535922217515,03028 31 D,1.845,2.01E+20,3,DL,2,2,D,12,L,11800,B
173,03032 04 D-7.68-201401090814040202710,03032 04 D,7.68,2.01E+20,4,DL,3,2,D,12,L,18603,U
174,03032 04 L-10.29-201401111829040200741,03032 04 L,10.29,2.01E+20,3,DL,2,2,D,99,L,9300,U
175,03032 04 R-9.42-201401010148040202920,03032 04 R,9.42,2.01E+20,3,NDL,2,3,D,99,L,21900,U
176,03032 04 U-6.89-201401122120040201815,03032 04 U,6.89,2.01E+20,5,NDL,1,2,UD,0,I,15500,U
177,03032 04RL-9.439-201401061611040202975,03032 04RL,9.439,2.01E+20,3,DL,1,3,D,99,L,13900,U
178,03032 11 D-0.81-201401101036110100506,03032 11 D,0.81,2.01E+20,5,DL,2,2,D,12,L,10800,B
179,03045 06 U-24.03-201401011740915515996,03045 06 U,24.03,2.01E+20,4,NDL,1,2,UD,0,I,3938,R
180,03045 11 U-7.3-201401111205916017577,03045 11 U,7.3,2.01E+20,4,DL,1,2,UD,0,H,1600,R
181,03049 09 U-23.64-201401081640924517604,03049 09 U,23.64,2.01E+20,2,DL,1,2,UD,0,L,4000,R
182,03049 09 U-3.5-201401122150924516465,03049 09 U,3.5,2.01E+20,2,NDL,2,2,UD,0,I,3100,B
183,03049 09 U-3.88-201401021633924517089,03049 09 U,3.88,2.01E+20,4,DL,1,2,UD,0,I,3100,B
184,03049 29 D-2.91-201401081805923016843,03049 29 D,2.91,2.01E+20,5,NDL,2,2,D,24,H,20900,R
185,03049 29 U-20.23-201401081830923016588,03049 29 U,20.23,2.01E+20,5,NDL,1,2,UD,0,I,3850,R
186,03049 31 D-6.124-201401092105922014282,03049 31 D,6.124,2.01E+20,4,NDL,2,4,D,12,I,35000,U
187,03049 31 D-6.86-201401011815922011614,03049 31 D,6.86,2.01E+20,5,NDL,3,4,D,12,I,28000,U
188,03049 31 U-1.86-201401111440310100030,03049 31 U,1.86,2.01E+20,4,DL,1,2,UD,0,I,8675,U
189,03049 46 U-22.07-201401050100923019235,03049 46 U,22.07,2.01E+20,3,NDL,1,2,UD,0,I,1100,R
190,03049 58 U-5.96-201401041700923014320,03049 58 U,5.96,2.01E+20,5,NDL,1,2,UD,0,I,940,R
191,03050 09 U-39.57-201401130010924513405,03050 09 U,39.57,2.01E+20,4,NDL,1,4,UD,0,I,12545,R
192,03050 09 U-60.63-201401041124924615992,03050 09 U,60.63,2.01E+20,4,DL,2,2,UD,0,I,13100,R
193,03050 09 U-66.12-201401112005924615910,03050 09 U,66.12,2.01E+20,3,NDL,1,4,UD,0,I,8000,R
194,03050 09 U-68.02-201401111248924615992,03050 09 U,68.02,2.01E+20,4,DL,2,2,UD,0,I,8000,R
195,03050 09 U-73.53-201401081135924614478,03050 09 U,73.53,2.01E+20,4,DL,2,2,UD,0,I,11600,B
196,03050 09RD-10.62-201401062034924517604,03050 09RD,10.62,2.01E+20,2,NDL,2,> 4,D,70,H,48500,R
197,03050 09RD-11.89-201401081725924517089,03050 09RD,11.89,2.01E+20,5,NDL,3,4,D,70,H,48500,R
198,03050 34 D-12.58-201401050605926016429,03050 34 D,12.58,2.01E+20,5,DL,1,> 4,D,32,H,116000,U
199,03050 34 D-19.14-201401101730926012781,03050 34 D,19.14,2.01E+20,4,NDL,2,> 4,D,46,H,87000,U
200,03050 34 D-19.578-201401101630926012718,03050 34 D,19.578,2.01E+20,4,DL,2,> 4,D,46,H,78000,U
201,03050 34 D-21.38-201401141740926017084,03050 34 D,21.38,2.01E+20,5,NDL,1,> 4,D,46,H,78000,U
202,03050 34LD-0.46-201401071410925213823,03050 34LD,0.46,2.01E+20,4,DL,1,> 4,D,36,H,227000,U
203,03050 34LD-0.94-201401140752925214512,03050 34LD,0.94,2.01E+20,5,DL,2,> 4,D,36,H,227000,U
204,03050 34LD-1-201401061640925213732,03050 34LD,1,2.01E+20,5,NDL,2,> 4,D,36,H,227000,U
205,03050 34LD-1.192-201401022000925213732,03050 34LD,1.192,2.01E+20,5,NDL,2,> 4,D,36,H,227000,U
206,03050 34LD-1.27-201401031730925218424,03050 34LD,1.27,2.01E+20,5,NDL,3,> 4,D,36,H,227000,U
207,03050 34LD-1.49-201401071910925213823,03050 34LD,1.49,2.01E+20,5,NDL,3,> 4,D,36,H,246000,U
208,03050 34LD-2.01-201401091600925213823,03050 34LD,2.01,2.01E+20,5,DL,2,> 4,D,36,H,246000,U
209,03050 34LD-2.195-201401021725925213823,03050 34LD,2.195,2.01E+20,5,DL,4,> 4,D,36,H,246000,U
210,03050 34RD-0.158-201401130245925219040,03050 34RD,0.158,2.01E+20,5,NDL,1,> 4,D,36,H,205000,U
211,03050 34RD-0.38-201401070745925214288,03050 34RD,0.38,2.01E+20,5,DL,1,> 4,D,36,H,205000,U
212,03050 34RD-1.43-201401031805925218424,03050 34RD,1.43,2.01E+20,5,NDL,2,> 4,D,36,H,206000,U
213,03050 34RD-10.726-201401080631340000504,03050 34RD,10.726,2.01E+20,4,NDL,2,> 4,D,22,H,153000,U
214,03050 34RD-12.205-201401021415340001453,03050 34RD,12.205,2.01E+20,4,DL,2,> 4,D,22,H,141000,U
215,03050 34RD-12.205-201401131515340001453,03050 34RD,12.205,2.01E+20,4,DL,2,> 4,D,22,H,141000,U
216,03050 34RD-2.05-201401061720925213823,03050 34RD,2.05,2.01E+20,5,NDL,2,> 4,D,36,H,206000,U
217,03050 34RD-2.1-201401050010925218630,03050 34RD,2.1,2.01E+20,5,NDL,1,> 4,D,36,H,206000,U
218,03050 34RD-2.807-201401020002925217048,03050 34RD,2.807,2.01E+20,5,NDL,1,> 4,D,36,H,197000,U
219,03050 34RD-3.6-201401091630925213732,03050 34RD,3.6,2.01E+20,5,DL,2,> 4,D,36,H,170114,U
220,03050 34RD-3.97-201401061650925213823,03050 34RD,3.97,2.01E+20,5,NDL,2,> 4,D,36,H,176000,U
221,03050 34RD-5.054-201401140945340400784,03050 34RD,5.054,2.01E+20,4,DL,2,> 4,D,36,H,176000,U
222,03050 34RD-5.055-201401141150925214512,03050 34RD,5.055,2.01E+20,3,DL,1,> 4,D,36,H,176000,U
223,03050 34RD-5.78-201401101723926017084,03050 34RD,5.78,2.01E+20,5,NDL,3,> 4,D,36,H,171000,U
224,03050 57 D-0.26-201401070605928015485,03050 57 D,0.26,2.01E+20,1,NDL,5,> 4,D,32,H,88000,U
225,03050 57 D-0.55-201401070600928017763,03050 57 D,0.55,2.01E+20,5,NDL,1,> 4,D,32,H,88000,U
226,03050 57 D-1.379-201401131105570400165,03050 57 D,1.379,2.01E+20,5,NDL,3,> 4,D,32,H,116000,U
227,03051 34 D-0.31-201401061320925213732,03051 34 D,0.31,2.01E+20,5,DL,2,> 4,D,36,H,147000,U
228,03051 34 D-0.39-201401061750925213732,03051 34 D,0.39,2.01E+20,5,NDL,2,> 4,D,36,H,147000,U
229,03051 34 D-0.57-201401091730925214296,03051 34 D,0.57,2.01E+20,5,NDL,2,> 4,D,36,H,147000,U
230,03051 34 D-2.55-201401030520925218974,03051 34 D,2.55,2.01E+20,4,NDL,3,> 4,D,14,H,147484,U
231,03051 34 D-2.86-201401061650925013736,03051 34 D,2.86,2.01E+20,5,NDL,2,> 4,D,16,H,147585,U
