"State_arrived","state_departed","movement_estimate","movement_moe"
"Kansas","Illinois",2449,1026
"Kansas","Indiana",1609,1088
"Kansas","Iowa",1010,497
"Kansas","Kansas",NA,NA
"Kansas","Kentucky",1297,862
"Kansas","Louisiana",313,293
"Kansas","Maine",0,181
"Kansas","Maryland",219,207
"Kansas","Massachusetts",6,13
"Kansas","Michigan",537,383
"Kansas","Minnesota",2373,1229
"Kansas","Mississippi",521,423
"Kansas","Missouri",27065,4842
"Kansas","Montana",1227,776
"Kansas","Nebraska",2836,1129
"Kansas","Nevada",147,144
"Kansas","New Hampshire",92,150
"Kansas","New Jersey",509,418
"Kansas","New Mexico",403,520
"Kansas","New York",1497,795
"Kansas","North Carolina",1757,968
"Kansas","North Dakota",515,674
"Kansas","Ohio",309,269
"Kansas","Oklahoma",4258,1393
"Kansas","Oregon",553,489
"Kansas","Pennsylvania",2189,1202
"Kansas","Rhode Island",0,181
"Kansas","South Carolina",308,257
"Kansas","South Dakota",39,44
"Kansas","Tennessee",1316,771
"Kansas","Texas",8374,3151
"Kansas","Utah",378,404
"Kansas","Vermont",0,181
"Kansas","Virginia",1556,983
"Kansas","Washington",2325,1164
"Kansas","West Virginia",174,214
"Kansas","Wisconsin",610,463
"Kansas","Wyoming",442,498
"Kansas","Puerto Rico",696,693
"Kentucky","Alabama",4390,1837
"Kentucky","Alaska",855,841
"Kentucky","Arizona",990,517
"Kentucky","Arkansas",521,433
"Kentucky","California",3410,1027
"Kentucky","Colorado",1177,586
"Kentucky","Connecticut",310,288
"Kentucky","Delaware",0,201
"Kentucky","District of Columbia",133,156
"Kentucky","Florida",7139,1962
"Kentucky","Georgia",3740,1142
"Kentucky","Hawaii",804,746
"Kentucky","Idaho",0,201
"Kentucky","Illinois",4843,1518
"Kentucky","Indiana",11424,3142
"Kentucky","Iowa",1573,1290
"Kentucky","Kansas",565,425
"Kentucky","Kentucky",NA,NA
"Kentucky","Louisiana",668,413
"Kentucky","Maine",1893,2425
"Kentucky","Maryland",1076,760
"Kentucky","Massachusetts",301,226
"Kentucky","Michigan",3825,2464
"Kentucky","Minnesota",310,413
"Kentucky","Mississippi",246,300
"Kentucky","Missouri",1498,1134
"Kentucky","Montana",8,15
"Kentucky","Nebraska",341,379
"Kentucky","Nevada",645,342
"Kentucky","New Hampshire",0,201
"Kentucky","New Jersey",509,423
"Kentucky","New Mexico",544,628
"Kentucky","New York",2693,1484
"Kentucky","North Carolina",2922,997
"Kentucky","North Dakota",162,158
"Kentucky","Ohio",13309,3265
"Kentucky","Oklahoma",378,242
"Kentucky","Oregon",255,312
"Kentucky","Pennsylvania",3235,1638
"Kentucky","Rhode Island",0,201
"Kentucky","South Carolina",1040,453
"Kentucky","South Dakota",63,109
"Kentucky","Tennessee",8070,1830
"Kentucky","Texas",2878,1083
"Kentucky","Utah",1746,1802
"Kentucky","Vermont",95,160
"Kentucky","Virginia",4170,1852
"Kentucky","Washington",2232,1617
"Kentucky","West Virginia",983,687
"Kentucky","Wisconsin",2088,1830
"Kentucky","Wyoming",0,201
"Kentucky","Puerto Rico",92,124
"Louisiana","Alabama",2567,1466
"Louisiana","Alaska",1194,1017
"Louisiana","Arizona",1357,855
"Louisiana","Arkansas",2497,2005
"Louisiana","California",4228,1500
"Louisiana","Colorado",1881,1295
"Louisiana","Connecticut",109,127
"Louisiana","Delaware",0,224
"Louisiana","District of Columbia",31,51
"Louisiana","Florida",5296,1540
"Louisiana","Georgia",2809,764
"Louisiana","Hawaii",175,154
"Louisiana","Idaho",142,206
"Louisiana","Illinois",712,426
"Louisiana","Indiana",258,211
"Louisiana","Iowa",330,465
"Louisiana","Kansas",133,127
"Louisiana","Kentucky",171,214
"Louisiana","Louisiana",NA,NA
"Louisiana","Maine",0,224
"Louisiana","Maryland",812,599
"Louisiana","Massachusetts",277,219
"Louisiana","Michigan",554,552
"Louisiana","Minnesota",112,129
"Louisiana","Mississippi",5395,1538
"Louisiana","Missouri",920,537
"Louisiana","Montana",248,307
"Louisiana","Nebraska",317,354
"Louisiana","Nevada",829,825
"Louisiana","New Hampshire",341,558
"Louisiana","New Jersey",229,163
"Louisiana","New Mexico",374,372
"Louisiana","New York",1359,798
"Louisiana","North Carolina",1412,832
"Louisiana","North Dakota",109,193
"Louisiana","Ohio",1190,725
"Louisiana","Oklahoma",1973,1291
"Louisiana","Oregon",162,220
"Louisiana","Pennsylvania",710,486
"Louisiana","Rhode Island",102,150
"Louisiana","South Carolina",1549,1032
"Louisiana","South Dakota",3,6
"Louisiana","Tennessee",1948,988
"Louisiana","Texas",19675,4447
"Louisiana","Utah",129,225
"Louisiana","Vermont",112,180
"Louisiana","Virginia",1526,1160
"Louisiana","Washington",805,629
"Louisiana","West Virginia",49,77
"Louisiana","Wisconsin",529,430
"Louisiana","Wyoming",0,224
"Louisiana","Puerto Rico",1165,1146
"Maine","Alabama",73,125
"Maine","Alaska",318,424
"Maine","Arizona",317,236
"Maine","Arkansas",183,302
"Maine","California",1644,841
"Maine","Colorado",982,704
"Maine","Connecticut",3092,1043
"Maine","Delaware",675,725
"Maine","District of Columbia",210,220
"Maine","Florida",2797,975
"Maine","Georgia",244,261
"Maine","Hawaii",372,307
"Maine","Idaho",21,35
"Maine","Illinois",436,441
"Maine","Indiana",151,256
"Maine","Iowa",183,196
"Maine","Kansas",0,172
"Maine","Kentucky",236,219
"Maine","Louisiana",136,133
"Maine","Maine",NA,NA
"Maine","Maryland",787,599
"Maine","Massachusetts",7005,1585
"Maine","Michigan",494,425
"Maine","Minnesota",0,172
"Maine","Mississippi",0,172
"Maine","Missouri",67,67
"Maine","Montana",548,485
"Maine","Nebraska",0,172
"Maine","Nevada",32,54
"Maine","New Hampshire",5838,1504
"Maine","New Jersey",422,280
"Maine","New Mexico",124,151
"Maine","New York",1273,615
"Maine","North Carolina",2042,1152
"Maine","North Dakota",0,172
"Maine","Ohio",446,274
"Maine","Oklahoma",29,54
"Maine","Oregon",306,443
"Maine","Pennsylvania",1249,472
"Maine","Rhode Island",351,226
"Maine","South Carolina",306,234
"Maine","South Dakota",19,30
"Maine","Tennessee",377,243
"Maine","Texas",459,313
"Maine","Utah",161,174
"Maine","Vermont",424,285
"Maine","Virginia",307,207
"Maine","Washington",541,463
"Maine","West Virginia",11,19
"Maine","Wisconsin",353,400
"Maine","Wyoming",88,149
"Maine","Puerto Rico",73,120
"Maryland","Alabama",1597,917
"Maryland","Alaska",0,210
"Maryland","Arizona",1770,962
"Maryland","Arkansas",274,290
"Maryland","California",10092,2766
"Maryland","Colorado",1960,961
"Maryland","Connecticut",1885,857
"Maryland","Delaware",5429,1749
"Maryland","District of Columbia",17718,3022
"Maryland","Florida",7766,1705
"Maryland","Georgia",3720,1037
"Maryland","Hawaii",1059,642
"Maryland","Idaho",0,210
"Maryland","Illinois",1929,794
"Maryland","Indiana",512,313
"Maryland","Iowa",130,136
"Maryland","Kansas",91,136
"Maryland","Kentucky",161,207
"Maryland","Louisiana",1000,874
"Maryland","Maine",213,197
"Maryland","Maryland",NA,NA
"Maryland","Massachusetts",2248,978
"Maryland","Michigan",1017,535
"Maryland","Minnesota",542,617
"Maryland","Mississippi",396,532
"Maryland","Missouri",263,201
"Maryland","Montana",0,210
"Maryland","Nebraska",80,130
"Maryland","Nevada",472,524
"Maryland","New Hampshire",725,610
"Maryland","New Jersey",8021,2374
"Maryland","New Mexico",875,755
"Maryland","New York",6018,1331
"Maryland","North Carolina",5453,1364
"Maryland","North Dakota",173,164
"Maryland","Ohio",2849,1263
"Maryland","Oklahoma",591,573
"Maryland","Oregon",399,257
"Maryland","Pennsylvania",14376,3462
"Maryland","Rhode Island",177,258
"Maryland","South Carolina",1147,460
"Maryland","South Dakota",0,210
"Maryland","Tennessee",640,503
"Maryland","Texas",4954,1890
"Maryland","Utah",1186,944
"Maryland","Vermont",368,389
"Maryland","Virginia",23429,3291
"Maryland","Washington",1338,802
"Maryland","West Virginia",4933,2000
"Maryland","Wisconsin",1790,1052
"Maryland","Wyoming",0,210
"Maryland","Puerto Rico",602,324
"Massachusetts","Alabama",1099,539
"Massachusetts","Alaska",553,523
"Massachusetts","Arizona",1228,749
"Massachusetts","Arkansas",0,216
"Massachusetts","California",11430,1590
"Massachusetts","Colorado",2094,949
"Massachusetts","Connecticut",11690,2030
"Massachusetts","Delaware",13,24
"Massachusetts","District of Columbia",956,459
"Massachusetts","Florida",10360,2462
"Massachusetts","Georgia",4290,1587
"Massachusetts","Hawaii",449,657
"Massachusetts","Idaho",162,160
"Massachusetts","Illinois",4050,1141
"Massachusetts","Indiana",1366,1407
"Massachusetts","Iowa",390,315
"Massachusetts","Kansas",274,319
"Massachusetts","Kentucky",621,492
"Massachusetts","Louisiana",1831,819
"Massachusetts","Maine",6122,1426
"Massachusetts","Maryland",3521,892
"Massachusetts","Massachusetts",NA,NA
"Massachusetts","Michigan",1260,516
"Massachusetts","Minnesota",1344,539
"Massachusetts","Mississippi",297,264
"Massachusetts","Missouri",662,487
"Massachusetts","Montana",392,523
"Massachusetts","Nebraska",96,159
"Massachusetts","Nevada",869,803
"Massachusetts","New Hampshire",11731,3255
"Massachusetts","New Jersey",5638,1306
"Massachusetts","New Mexico",41,74
"Massachusetts","New York",17143,2214
"Massachusetts","North Carolina",3812,1397
"Massachusetts","North Dakota",140,154
"Massachusetts","Ohio",2190,936
"Massachusetts","Oklahoma",69,114
"Massachusetts","Oregon",1288,661
"Massachusetts","Pennsylvania",6043,1588
"Massachusetts","Rhode Island",7784,2472
"Massachusetts","South Carolina",2647,1771
"Massachusetts","South Dakota",41,69
"Massachusetts","Tennessee",1933,1076
"Massachusetts","Texas",6088,2465
"Massachusetts","Utah",1286,658
"Massachusetts","Vermont",2167,1010
"Massachusetts","Virginia",3768,1384
"Massachusetts","Washington",2353,1079
"Massachusetts","West Virginia",63,107
"Massachusetts","Wisconsin",281,237
"Massachusetts","Wyoming",154,188
"Massachusetts","Puerto Rico",3043,1827
"Michigan","Alabama",1997,840
"Michigan","Alaska",222,210
"Michigan","Arizona",3447,1487
"Michigan","Arkansas",464,327
"Michigan","California",8672,2157
"Michigan","Colorado",2459,806
"Michigan","Connecticut",1569,810
"Michigan","Delaware",0,175
"Michigan","District of Columbia",214,208
"Michigan","Florida",9941,2159
"Michigan","Georgia",5249,1817
"Michigan","Hawaii",1124,610
"Michigan","Idaho",205,173
"Michigan","Illinois",10177,2071
"Michigan","Indiana",11026,2433
"Michigan","Iowa",600,412
"Michigan","Kansas",1039,834
"Michigan","Kentucky",1961,925
"Michigan","Louisiana",686,435
"Michigan","Maine",1716,437
"Michigan","Maryland",984,479
"Michigan","Massachusetts",2271,909
"Michigan","Michigan",NA,NA
"Michigan","Minnesota",1747,787
"Michigan","Mississippi",1502,1102
"Michigan","Missouri",2800,1209
"Michigan","Montana",75,130
"Michigan","Nebraska",948,607
"Michigan","Nevada",1348,538
"Michigan","New Hampshire",742,543
"Michigan","New Jersey",1267,744
"Michigan","New Mexico",1061,582
"Michigan","New York",6078,2068
"Michigan","North Carolina",2971,935
"Michigan","North Dakota",717,637
"Michigan","Ohio",12261,2389
"Michigan","Oklahoma",780,427
"Michigan","Oregon",1110,994
"Michigan","Pennsylvania",5074,1847
"Michigan","Rhode Island",99,127
"Michigan","South Carolina",1241,611
"Michigan","South Dakota",320,281
"Michigan","Tennessee",4489,1593
"Michigan","Texas",8434,2285
"Michigan","Utah",428,496
"Michigan","Vermont",32,53
"Michigan","Virginia",3468,1151
"Michigan","Washington",1726,688
"Michigan","West Virginia",767,434
"Michigan","Wisconsin",4361,1134
"Michigan","Wyoming",139,139
"Michigan","Puerto Rico",990,557
"Minnesota","Alabama",433,271
"Minnesota","Alaska",1240,718
"Minnesota","Arizona",1748,600
"Minnesota","Arkansas",296,337
"Minnesota","California",6232,1697
"Minnesota","Colorado",3647,1085
"Minnesota","Connecticut",386,328
"Minnesota","Delaware",6,12
"Minnesota","District of Columbia",209,197
"Minnesota","Florida",4070,1840
"Minnesota","Georgia",1862,1310
"Minnesota","Hawaii",30,51
"Minnesota","Idaho",850,455
"Minnesota","Illinois",8348,2020
"Minnesota","Indiana",2085,1525
"Minnesota","Iowa",5739,1883
"Minnesota","Kansas",607,471
"Minnesota","Kentucky",445,445
"Minnesota","Louisiana",192,141
"Minnesota","Maine",207,163
"Minnesota","Maryland",826,645
"Minnesota","Massachusetts",2442,855
"Minnesota","Michigan",3106,1608
"Minnesota","Minnesota",NA,NA
"Minnesota","Mississippi",495,485
"Minnesota","Missouri",1568,955
"Minnesota","Montana",1379,813
"Minnesota","Nebraska",1365,830
"Minnesota","Nevada",1081,665
"Minnesota","New Hampshire",0,149
"Minnesota","New Jersey",602,507
"Minnesota","New Mexico",506,372
"Minnesota","New York",2549,1620
"Minnesota","North Carolina",1175,689
"Minnesota","North Dakota",8360,1862
"Minnesota","Ohio",2935,1448
"Minnesota","Oklahoma",204,161
"Minnesota","Oregon",1119,791
"Minnesota","Pennsylvania",1349,729
"Minnesota","Rhode Island",0,149
"Minnesota","South Carolina",275,328
"Minnesota","South Dakota",3941,1125
"Minnesota","Tennessee",1262,1055
"Minnesota","Texas",5916,1269
"Minnesota","Utah",314,309
"Minnesota","Vermont",0,149
"Minnesota","Virginia",1743,1427
"Minnesota","Washington",5166,2175
"Minnesota","West Virginia",0,149
"Minnesota","Wisconsin",18403,2688
"Minnesota","Wyoming",207,252
"Minnesota","Puerto Rico",29,47
"Mississippi","Alabama",3512,1144
"Mississippi","Alaska",80,120
"Mississippi","Arizona",495,491
"Mississippi","Arkansas",2625,1520
"Mississippi","California",3024,1449
"Mississippi","Colorado",421,383
"Mississippi","Connecticut",0,226
"Mississippi","Delaware",0,226
"Mississippi","District of Columbia",28,57
"Mississippi","Florida",4712,1922
"Mississippi","Georgia",2271,873
"Mississippi","Hawaii",221,230
"Mississippi","Idaho",135,229
"Mississippi","Illinois",3133,1660
"Mississippi","Indiana",234,299
"Mississippi","Iowa",246,238
"Mississippi","Kansas",220,288
"Mississippi","Kentucky",463,398
"Mississippi","Louisiana",9257,3102
"Mississippi","Maine",0,226
"Mississippi","Maryland",975,699
"Mississippi","Massachusetts",252,283
"Mississippi","Michigan",309,292
"Mississippi","Minnesota",0,226
"Mississippi","Mississippi",NA,NA
"Mississippi","Missouri",528,497
"Mississippi","Montana",133,148
"Mississippi","Nebraska",290,312
"Mississippi","Nevada",298,296
"Mississippi","New Hampshire",37,80
"Mississippi","New Jersey",183,209
"Mississippi","New Mexico",0,226
"Mississippi","New York",2124,1537
"Mississippi","North Carolina",1383,912
"Mississippi","North Dakota",291,467
"Mississippi","Ohio",2153,1433
"Mississippi","Oklahoma",292,305
"Mississippi","Oregon",565,535
"Mississippi","Pennsylvania",917,867
"Mississippi","Rhode Island",0,226
"Mississippi","South Carolina",1016,603
"Mississippi","South Dakota",0,226
"Mississippi","Tennessee",9192,2031
"Mississippi","Texas",4689,1649
"Mississippi","Utah",406,475
"Mississippi","Vermont",10,19
"Mississippi","Virginia",2244,1157
"Mississippi","Washington",526,560
"Mississippi","West Virginia",647,773
"Mississippi","Wisconsin",1146,1355
"Mississippi","Wyoming",0,226
"Mississippi","Puerto Rico",922,857
"Missouri","Alabama",2246,1168
"Missouri","Alaska",927,710
"Missouri","Arizona",3184,1364
"Missouri","Arkansas",4768,1100
"Missouri","California",7970,1934
"Missouri","Colorado",4032,1510
"Missouri","Connecticut",997,772
"Missouri","Delaware",160,201
"Missouri","District of Columbia",74,111
"Missouri","Florida",6848,1985
"Missouri","Georgia",5492,1848
"Missouri","Hawaii",875,721
"Missouri","Idaho",1066,848
"Missouri","Illinois",17366,3074
"Missouri","Indiana",5811,2382
"Missouri","Iowa",5774,2077
"Missouri","Kansas",20685,3175
"Missouri","Kentucky",2042,1243
"Missouri","Louisiana",1488,723
"Missouri","Maine",644,522
"Missouri","Maryland",1210,879
"Missouri","Massachusetts",464,371
"Missouri","Michigan",1328,699
"Missouri","Minnesota",1321,667
"Missouri","Mississippi",2091,1901
"Missouri","Missouri",NA,NA
"Missouri","Montana",589,655
"Missouri","Nebraska",3190,1654
"Missouri","Nevada",877,722
"Missouri","New Hampshire",277,364
"Missouri","New Jersey",1515,836
"Missouri","New Mexico",482,350
"Missouri","New York",2247,834
"Missouri","North Carolina",5552,2294
"Missouri","North Dakota",873,641
"Missouri","Ohio",1691,1119
"Missouri","Oklahoma",4644,2123
"Missouri","Oregon",761,481
"Missouri","Pennsylvania",1320,872
"Missouri","Rhode Island",246,265
"Missouri","South Carolina",987,519
"Missouri","South Dakota",494,503
"Missouri","Tennessee",4106,1824
"Missouri","Texas",11507,2621
"Missouri","Utah",1567,1185
"Missouri","Vermont",1094,1435
"Missouri","Virginia",2682,946
"Missouri","Washington",2903,1868
"Missouri","West Virginia",829,973
"Missouri","Wisconsin",3004,1384
"Missouri","Wyoming",45,75
"Missouri","Puerto Rico",1109,677
"Montana","Alabama",400,374
"Montana","Alaska",1124,804
"Montana","Arizona",1271,572
"Montana","Arkansas",68,107
"Montana","California",5298,1721
"Montana","Colorado",3831,1355
"Montana","Connecticut",346,538
"Montana","Delaware",0,177
"Montana","District of Columbia",0,177
"Montana","Florida",1715,1021
"Montana","Georgia",149,168
"Montana","Hawaii",32,39
"Montana","Idaho",2197,829
"Montana","Illinois",1045,763
"Montana","Indiana",84,97
"Montana","Iowa",350,345
"Montana","Kansas",137,192
"Montana","Kentucky",49,86
"Montana","Louisiana",954,870
"Montana","Maine",72,120
"Montana","Maryland",21,40
"Montana","Massachusetts",374,315
"Montana","Michigan",346,274
"Montana","Minnesota",996,479
"Montana","Mississippi",30,52
"Montana","Missouri",487,377
"Montana","Montana",NA,NA
"Montana","Nebraska",424,428
"Montana","Nevada",1928,1260
"Montana","New Hampshire",63,104
"Montana","New Jersey",0,177
"Montana","New Mexico",117,113
"Montana","New York",1239,967
"Montana","North Carolina",718,727
"Montana","North Dakota",792,497
"Montana","Ohio",500,468
"Montana","Oklahoma",455,382
"Montana","Oregon",1977,750
"Montana","Pennsylvania",651,663
"Montana","Rhode Island",0,177
"Montana","South Carolina",0,177
"Montana","South Dakota",188,180
"Montana","Tennessee",0,177
"Montana","Texas",780,386
"Montana","Utah",1900,1445
"Montana","Vermont",134,157
"Montana","Virginia",768,661
"Montana","Washington",4907,1433
"Montana","West Virginia",176,247
"Montana","Wisconsin",107,127
"Montana","Wyoming",1662,795
"Montana","Puerto Rico",11,20
"Nebraska","Alabama",812,776
"Nebraska","Alaska",127,213
"Nebraska","Arizona",1968,1063
"Nebraska","Arkansas",273,257
"Nebraska","California",2035,675
"Nebraska","Colorado",2816,837
"Nebraska","Connecticut",261,244
"Nebraska","Delaware",9,19
"Nebraska","District of Columbia",0,165
"Nebraska","Florida",1474,814
"Nebraska","Georgia",358,254
"Nebraska","Hawaii",438,352
"Nebraska","Idaho",386,383
"Nebraska","Illinois",1158,539
"Nebraska","Indiana",448,324
"Nebraska","Iowa",6952,1891
"Nebraska","Kansas",4054,1635
"Nebraska","Kentucky",182,172
"Nebraska","Louisiana",59,74
"Nebraska","Maine",47,79
"Nebraska","Maryland",1092,851
"Nebraska","Massachusetts",218,248
"Nebraska","Michigan",510,289
"Nebraska","Minnesota",1615,649
"Nebraska","Mississippi",238,153
"Nebraska","Missouri",1679,642
"Nebraska","Montana",302,289
"Nebraska","Nebraska",NA,NA
"Nebraska","Nevada",35,53
"Nebraska","New Hampshire",0,165
"Nebraska","New Jersey",110,182
"Nebraska","New Mexico",792,823
"Nebraska","New York",472,553
"Nebraska","North Carolina",828,458
"Nebraska","North Dakota",968,944
"Nebraska","Ohio",233,202
"Nebraska","Oklahoma",1582,1248
"Nebraska","Oregon",78,96
"Nebraska","Pennsylvania",157,136
"Nebraska","Rhode Island",62,105
"Nebraska","South Carolina",87,103
"Nebraska","South Dakota",2070,865
"Nebraska","Tennessee",351,277
"Nebraska","Texas",4199,1453
"Nebraska","Utah",1111,1493
"Nebraska","Vermont",0,165
"Nebraska","Virginia",1180,756
"Nebraska","Washington",365,558
"Nebraska","West Virginia",148,256
"Nebraska","Wisconsin",725,519
"Nebraska","Wyoming",1000,602
"Nebraska","Puerto Rico",122,156
"Nevada","Alabama",239,244
"Nevada","Alaska",2850,1405
"Nevada","Arizona",8636,3377
"Nevada","Arkansas",356,401
"Nevada","California",47322,7072
"Nevada","Colorado",3206,1242
"Nevada","Connecticut",694,470
"Nevada","Delaware",0,216
"Nevada","District of Columbia",259,315
"Nevada","Florida",5429,1706
"Nevada","Georgia",1432,836
"Nevada","Hawaii",3612,1512
"Nevada","Idaho",1660,1190
"Nevada","Illinois",4239,1852
"Nevada","Indiana",594,353
"Nevada","Iowa",1706,1653
"Nevada","Kansas",559,433
"Nevada","Kentucky",211,296
"Nevada","Louisiana",1276,724
"Nevada","Maine",0,216
"Nevada","Maryland",2540,1429
"Nevada","Massachusetts",407,253
"Nevada","Michigan",1229,505
"Nevada","Minnesota",782,407
"Nevada","Mississippi",1861,1330
"Nevada","Missouri",995,453
"Nevada","Montana",1206,722
"Nevada","Nebraska",90,115
"Nevada","Nevada",NA,NA
"Nevada","New Hampshire",460,514
"Nevada","New Jersey",960,456
"Nevada","New Mexico",4823,2504
"Nevada","New York",2711,1337
"Nevada","North Carolina",798,618
"Nevada","North Dakota",678,668
"Nevada","Ohio",1658,715
"Nevada","Oklahoma",968,673
"Nevada","Oregon",3392,1234
"Nevada","Pennsylvania",1582,655
"Nevada","Rhode Island",0,216
"Nevada","South Carolina",767,513
"Nevada","South Dakota",417,271
"Nevada","Tennessee",1372,875
"Nevada","Texas",5240,1362
"Nevada","Utah",6593,2222
"Nevada","Vermont",0,216
"Nevada","Virginia",1959,1069
"Nevada","Washington",3906,1266
"Nevada","West Virginia",74,92
"Nevada","Wisconsin",1156,983
"Nevada","Wyoming",46,68
"Nevada","Puerto Rico",255,294
"New Hampshire","Alabama",379,422
"New Hampshire","Alaska",392,505
"New Hampshire","Arizona",970,1008
"New Hampshire","Arkansas",154,302
"New Hampshire","California",1110,671
"New Hampshire","Colorado",372,289
"New Hampshire","Connecticut",1701,593
"New Hampshire","Delaware",106,179
"New Hampshire","District of Columbia",661,728
"New Hampshire","Florida",1182,528
"New Hampshire","Georgia",216,278
"New Hampshire","Hawaii",153,231
"New Hampshire","Idaho",126,221
"New Hampshire","Illinois",390,317
"New Hampshire","Indiana",524,502
"New Hampshire","Iowa",56,79
"New Hampshire","Kansas",0,195
"New Hampshire","Kentucky",376,431
"New Hampshire","Louisiana",391,431
"New Hampshire","Maine",4524,1734
"New Hampshire","Maryland",927,921
"New Hampshire","Massachusetts",18723,2822
"New Hampshire","Michigan",581,483
"New Hampshire","Minnesota",92,108
"New Hampshire","Mississippi",0,195
"New Hampshire","Missouri",0,195
"New Hampshire","Montana",278,333
"New Hampshire","Nebraska",57,113
"New Hampshire","Nevada",160,195
"New Hampshire","New Hampshire",NA,NA
"New Hampshire","New Jersey",1012,552
"New Hampshire","New Mexico",97,128
"New Hampshire","New York",3556,2299
"New Hampshire","North Carolina",269,236
"New Hampshire","North Dakota",0,195
"New Hampshire","Ohio",986,787
"New Hampshire","Oklahoma",0,195
"New Hampshire","Oregon",317,368
"New Hampshire","Pennsylvania",1306,655
"New Hampshire","Rhode Island",1022,515
"New Hampshire","South Carolina",413,396
"New Hampshire","South Dakota",126,149
"New Hampshire","Tennessee",801,555
"New Hampshire","Texas",892,438
"New Hampshire","Utah",272,251
"New Hampshire","Vermont",2370,813
"New Hampshire","Virginia",890,881
"New Hampshire","Washington",582,386
"New Hampshire","West Virginia",155,217
"New Hampshire","Wisconsin",621,717
"New Hampshire","Wyoming",0,195
"New Hampshire","Puerto Rico",475,529
"New Jersey","Alabama",357,584
"New Jersey","Alaska",457,549
"New Jersey","Arizona",806,972
"New Jersey","Arkansas",261,337
"New Jersey","California",9155,2507
"New Jersey","Colorado",3314,874
"New Jersey","Connecticut",3484,1354
"New Jersey","Delaware",1066,540
"New Jersey","District of Columbia",629,399
"New Jersey","Florida",12032,3261
"New Jersey","Georgia",1915,1699
"New Jersey","Hawaii",218,241
"New Jersey","Idaho",73,122
"New Jersey","Illinois",1854,1020
"New Jersey","Indiana",664,675
"New Jersey","Iowa",61,85
"New Jersey","Kansas",480,701
"New Jersey","Kentucky",537,533
"New Jersey","Louisiana",449,389
"New Jersey","Maine",916,940
"New Jersey","Maryland",3772,1579
"New Jersey","Massachusetts",2726,940
"New Jersey","Michigan",1657,898
"New Jersey","Minnesota",98,96
"New Jersey","Mississippi",499,804
"New Jersey","Missouri",296,361
"New Jersey","Montana",30,51
"New Jersey","Nebraska",384,414
"New Jersey","Nevada",717,649
"New Jersey","New Hampshire",829,717
"New Jersey","New Jersey",NA,NA
"New Jersey","New Mexico",127,123
"New Jersey","New York",58664,5894
"New Jersey","North Carolina",4294,1775
"New Jersey","North Dakota",0,213
"New Jersey","Ohio",628,481
"New Jersey","Oklahoma",122,215
"New Jersey","Oregon",398,582
"New Jersey","Pennsylvania",22445,2957
"New Jersey","Rhode Island",137,178
"New Jersey","South Carolina",412,351
"New Jersey","South Dakota",0,213
"New Jersey","Tennessee",527,267
"New Jersey","Texas",4489,1610
"New Jersey","Utah",540,695
"New Jersey","Vermont",133,104
"New Jersey","Virginia",4810,2089
"New Jersey","Washington",996,992
"New Jersey","West Virginia",494,498
"New Jersey","Wisconsin",308,258
"New Jersey","Wyoming",0,213
"New Jersey","Puerto Rico",3036,1978
"New Mexico","Alabama",751,928
"New Mexico","Alaska",950,1064
"New Mexico","Arizona",4255,1683
"New Mexico","Arkansas",416,453
"New Mexico","California",5915,1550
"New Mexico","Colorado",5038,2195
"New Mexico","Connecticut",598,680
"New Mexico","Delaware",108,172
"New Mexico","District of Columbia",32,54
"New Mexico","Florida",1804,1103
"New Mexico","Georgia",1019,773
"New Mexico","Hawaii",949,1079
"New Mexico","Idaho",318,331
"New Mexico","Illinois",836,590
"New Mexico","Indiana",368,466
"New Mexico","Iowa",4,9
"New Mexico","Kansas",475,492
"New Mexico","Kentucky",78,134
"New Mexico","Louisiana",365,320
"New Mexico","Maine",119,147
"New Mexico","Maryland",384,453
"New Mexico","Massachusetts",259,280
"New Mexico","Michigan",216,268
"New Mexico","Minnesota",356,280
"New Mexico","Mississippi",83,98
"New Mexico","Missouri",372,527
"New Mexico","Montana",468,540
"New Mexico","Nebraska",0,210
"New Mexico","Nevada",2303,1133
"New Mexico","New Hampshire",97,162
"New Mexico","New Jersey",811,1082
"New Mexico","New Mexico",NA,NA
"New Mexico","New York",608,445
"New Mexico","North Carolina",1263,839
"New Mexico","North Dakota",10,20
"New Mexico","Ohio",209,246
"New Mexico","Oklahoma",702,484
"New Mexico","Oregon",976,505
"New Mexico","Pennsylvania",791,548
"New Mexico","Rhode Island",83,155
"New Mexico","South Carolina",355,417
"New Mexico","South Dakota",85,156
"New Mexico","Tennessee",599,796
"New Mexico","Texas",15762,3998
"New Mexico","Utah",766,473
"New Mexico","Vermont",102,109
"New Mexico","Virginia",564,345
"New Mexico","Washington",1330,609
"New Mexico","West Virginia",0,210
"New Mexico","Wisconsin",142,142
"New Mexico","Wyoming",1451,1198
"New Mexico","Puerto Rico",217,378
"New York","Alabama",851,786
"New York","Alaska",596,497
"New York","Arizona",2185,905
"New York","Arkansas",1130,619
"New York","California",24332,3635
"New York","Colorado",5754,2079
"New York","Connecticut",15040,2284
"New York","Delaware",1655,1304
"New York","District of Columbia",3325,1225
"New York","Florida",18976,2772
"New York","Georgia",5938,1231
"New York","Hawaii",1301,1202
"New York","Idaho",138,173
"New York","Illinois",6447,1717
"New York","Indiana",1470,703
"New York","Iowa",1554,762
"New York","Kansas",1329,736
"New York","Kentucky",1553,869
"New York","Louisiana",1757,605
