"State_arrived","state_departed","movement_estimate","movement_moe"
"Arkansas","Indiana",438,379
"Arkansas","Iowa",674,733
"Arkansas","Kansas",1139,657
"Arkansas","Kentucky",265,288
"Arkansas","Louisiana",4089,2718
"Arkansas","Maine",39,68
"Arkansas","Maryland",535,446
"Arkansas","Massachusetts",97,128
"Arkansas","Michigan",820,519
"Arkansas","Minnesota",1142,1002
"Arkansas","Mississippi",1867,883
"Arkansas","Missouri",4368,1458
"Arkansas","Montana",74,128
"Arkansas","Nebraska",380,284
"Arkansas","Nevada",962,677
"Arkansas","New Hampshire",0,206
"Arkansas","New Jersey",420,393
"Arkansas","New Mexico",0,206
"Arkansas","New York",642,561
"Arkansas","North Carolina",369,367
"Arkansas","North Dakota",39,69
"Arkansas","Ohio",569,373
"Arkansas","Oklahoma",5826,1993
"Arkansas","Oregon",501,496
"Arkansas","Pennsylvania",533,520
"Arkansas","Rhode Island",0,206
"Arkansas","South Carolina",443,395
"Arkansas","South Dakota",0,206
"Arkansas","Tennessee",3237,1281
"Arkansas","Texas",12851,3513
"Arkansas","Utah",710,823
"Arkansas","Vermont",0,206
"Arkansas","Virginia",671,521
"Arkansas","Washington",571,412
"Arkansas","West Virginia",133,135
"Arkansas","Wisconsin",797,809
"Arkansas","Wyoming",1109,1536
"Arkansas","Puerto Rico",302,446
"California","Alabama",3310,1660
"California","Alaska",5064,2234
"California","Arizona",28226,3739
"California","Arkansas",3104,1556
"California","California",NA,NA
"California","Colorado",15085,2648
"California","Connecticut",4067,1623
"California","Delaware",1630,1349
"California","District of Columbia",3075,1070
"California","Florida",22692,3272
"California","Georgia",14496,3204
"California","Hawaii",11985,3032
"California","Idaho",4372,1590
"California","Illinois",24085,4126
"California","Indiana",4923,1256
"California","Iowa",1956,849
"California","Kansas",2941,1066
"California","Kentucky",2606,993
"California","Louisiana",5347,1763
"California","Maine",2335,1277
"California","Maryland",11775,3503
"California","Massachusetts",16158,2839
"California","Michigan",6406,1791
"California","Minnesota",8951,2425
"California","Mississippi",2354,1255
"California","Missouri",7638,2737
"California","Montana",1974,826
"California","Nebraska",2587,2585
"California","Nevada",26433,4173
"California","New Hampshire",709,453
"California","New Jersey",10812,2144
"California","New Mexico",3418,1235
"California","New York",37567,5055
"California","North Carolina",13863,2982
"California","North Dakota",710,408
"California","Ohio",9098,2997
"California","Oklahoma",3747,1386
"California","Oregon",17265,3483
"California","Pennsylvania",12578,2258
"California","Rhode Island",2839,1671
"California","South Carolina",5803,1844
"California","South Dakota",1345,964
"California","Tennessee",5863,2962
"California","Texas",37063,4362
"California","Utah",8504,2582
"California","Vermont",784,415
"California","Virginia",24506,4749
"California","Washington",31882,4810
"California","West Virginia",303,296
"California","Wisconsin",4811,1442
"California","Wyoming",1159,593
"California","Puerto Rico",1780,1200
"Colorado","Alabama",3422,2578
"Colorado","Alaska",862,735
"Colorado","Arizona",10616,2533
"Colorado","Arkansas",1022,541
"Colorado","California",29350,3948
"Colorado","Colorado",NA,NA
"Colorado","Connecticut",942,545
"Colorado","Delaware",0,206
"Colorado","District of Columbia",259,287
"Colorado","Florida",14124,3195
"Colorado","Georgia",6985,3465
"Colorado","Hawaii",2782,1503
"Colorado","Idaho",798,484
"Colorado","Illinois",10153,2277
"Colorado","Indiana",3114,1086
"Colorado","Iowa",2589,929
"Colorado","Kansas",6544,2162
"Colorado","Kentucky",1455,801
"Colorado","Louisiana",3901,1640
"Colorado","Maine",900,537
"Colorado","Maryland",3555,1323
"Colorado","Massachusetts",6053,2177
"Colorado","Michigan",3101,1156
"Colorado","Minnesota",5523,2603
"Colorado","Mississippi",554,537
"Colorado","Missouri",4801,1392
"Colorado","Montana",1984,852
"Colorado","Nebraska",4861,2054
"Colorado","Nevada",3888,1692
"Colorado","New Hampshire",196,181
"Colorado","New Jersey",3677,1537
"Colorado","New Mexico",4895,1518
"Colorado","New York",7965,1973
"Colorado","North Carolina",4930,1738
"Colorado","North Dakota",2084,1217
"Colorado","Ohio",4432,1841
"Colorado","Oklahoma",4412,1326
"Colorado","Oregon",3619,1445
"Colorado","Pennsylvania",3362,1034
"Colorado","Rhode Island",820,611
"Colorado","South Carolina",1081,646
"Colorado","South Dakota",1581,747
"Colorado","Tennessee",5549,2654
"Colorado","Texas",32295,4575
"Colorado","Utah",2458,932
"Colorado","Vermont",161,231
"Colorado","Virginia",6796,1610
"Colorado","Washington",7333,2938
"Colorado","West Virginia",502,412
"Colorado","Wisconsin",4454,1881
"Colorado","Wyoming",3860,1317
"Colorado","Puerto Rico",642,588
"Connecticut","Alabama",248,323
"Connecticut","Alaska",220,291
"Connecticut","Arizona",441,304
"Connecticut","Arkansas",0,213
"Connecticut","California",4049,1135
"Connecticut","Colorado",1165,647
"Connecticut","Connecticut",NA,NA
"Connecticut","Delaware",45,74
"Connecticut","District of Columbia",313,376
"Connecticut","Florida",7501,2345
"Connecticut","Georgia",1266,910
"Connecticut","Hawaii",912,743
"Connecticut","Idaho",0,213
"Connecticut","Illinois",1389,1298
"Connecticut","Indiana",309,299
"Connecticut","Iowa",165,169
"Connecticut","Kansas",94,151
"Connecticut","Kentucky",135,166
"Connecticut","Louisiana",764,833
"Connecticut","Maine",743,646
"Connecticut","Maryland",1720,944
"Connecticut","Massachusetts",13020,2629
"Connecticut","Michigan",1091,699
"Connecticut","Minnesota",676,519
"Connecticut","Mississippi",0,213
"Connecticut","Missouri",212,165
"Connecticut","Montana",0,213
"Connecticut","Nebraska",189,167
"Connecticut","Nevada",174,210
"Connecticut","New Hampshire",741,415
"Connecticut","New Jersey",5297,1366
"Connecticut","New Mexico",0,213
"Connecticut","New York",27606,4458
"Connecticut","North Carolina",2640,1254
"Connecticut","North Dakota",0,213
"Connecticut","Ohio",1369,831
"Connecticut","Oklahoma",199,331
"Connecticut","Oregon",523,507
"Connecticut","Pennsylvania",3711,1748
"Connecticut","Rhode Island",3788,2220
"Connecticut","South Carolina",910,981
"Connecticut","South Dakota",539,577
"Connecticut","Tennessee",921,1085
"Connecticut","Texas",2141,1399
"Connecticut","Utah",120,199
"Connecticut","Vermont",103,115
"Connecticut","Virginia",1764,836
"Connecticut","Washington",191,187
"Connecticut","West Virginia",408,518
"Connecticut","Wisconsin",232,169
"Connecticut","Wyoming",0,213
